dataset_id,dataset_family,noise_model,seed,m,n,m_over_n,density,condition_proxy,column_norm_ratio,numerical_rank,full_column_rank,effective_kappa,method,final_be,pass_fail,iters_to_stable
illc1033,suitesparse,a_and_b,10001,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,296.25139702752637,qr_ref,1.3771589316592186e-16,1,0
illc1033,suitesparse,a_and_b,20002,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,295.06374802816646,sketch_solve,0.00017191278932707498,0,
illc1033,suitesparse,a_and_b,20002,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,295.06374802816646,iter_sketch_mom,1.7347145061869263e-15,0,
illc1033,suitesparse,a_and_b,20002,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,295.06374802816646,sketch_pre_cold,5.285763358277727e-10,0,
illc1033,suitesparse,a_and_b,20002,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,295.06374802816646,sketch_pre_warm,1.5076065042549923e-12,0,
illc1033,suitesparse,a_and_b,20002,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,295.06374802816646,fossils,3.769073803205746e-17,1,
illc1033,suitesparse,a_and_b,20002,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,295.06374802816646,spir,1.4399765863223294e-17,1,
illc1033,suitesparse,a_and_b,20002,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,295.06374802816646,qr_ref,1.5693965918703388e-16,1,0
illc1033,suitesparse,a_and_b,30003,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,298.6349751400475,sketch_solve,0.00019397562030047278,0,
illc1033,suitesparse,a_and_b,30003,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,298.6349751400475,iter_sketch_mom,1.785114143582275e-15,0,
illc1033,suitesparse,a_and_b,30003,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,298.6349751400475,sketch_pre_cold,5.148250307086007e-10,0,
